sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,priority
30-07-2025 - SE - Milwaukee - Creative 10,Adset #1,120230909668710153,120230909667910153,2025-08-03,19,8,42.11,5.26,0.3595,6.83,18,1,-60.47,2.7,-4.13,SE,Sweden,0.3953147298,0.0526315762,-0.6046851238,-1,PAUSE,Outlier with poor ROI -60.5%,Pause campaign immediately,1
01-08-2025 - SE - Marabou - NEW - Cost cap,Adset 5,120232197018990295,120232197018780295,2025-08-03,42,13,30.95,4.76,0.4926,20.69,38,2,-66.17,7.0,-13.69,SE,Sweden,0.3383276782,0.0476190465,-0.6616722735,-1,PAUSE,Outlier with poor ROI -66.2%,Pause campaign immediately,1
01-08-2025 - DE - Action - NEW,Adset 1,120238290040340386,120238290039790386,2025-08-03,57,33,57.89,1.75,0.2275,12.97,54,1,-66.85,4.3,-8.67,DE,Germany,0.3315342844,0.0175438593,-0.6684656385,-1,PAUSE,Outlier with poor ROI -66.8%,Pause campaign immediately,1
23-07-2025 - DE - Xiaomi - Creative 1,Adset #3,120229974485210210,120229974433090210,2025-08-03,40,23,57.5,2.5,0.3563,14.25,40,1,-69.82,4.3,-9.95,DE,Germany,0.3017543648,0.0249999994,-0.698245565,-1,PAUSE,Outlier with poor ROI -69.8%,Pause campaign immediately,1
02-08-2025 - SE - Rituals,Adset 1,120228730572350232,120228730572360232,2025-08-03,59,34,57.63,23.73,0.1176,6.94,51,14,444.67,37.8,30.86,SE,Sweden,5.4466850941,0.2372881316,4.4466852382,-1,INCREASE_BUDGET,Outlier ROI 444.7%,Increase budget by 89%,2
02-08-2025 - SE - Rituals - Overlay,Adset 5,120228731457670232,120228731086470232,2025-08-03,40,26,65.0,25.0,0.1428,5.71,33,10,372.85,27.0,21.29,SE,Sweden,4.7285455817,0.2499999938,3.7285457568,-1,INCREASE_BUDGET,Outlier ROI 372.9%,Increase budget by 75%,2
02-08-2025 - SE - Rituals,Adset 3,120228731013330232,120228730572360232,2025-08-03,29,22,75.86,20.69,0.1914,5.55,28,6,191.89,16.2,10.65,SE,Sweden,2.918918393,0.2068965446,1.9189185732,-1,INCREASE_BUDGET,Outlier ROI 191.9%,Increase budget by 38%,2
02-08-2025 - SE - Rituals - Overlay,Adset 4,120228731457840232,120228731086470232,2025-08-03,187,104,55.61,16.04,0.153,28.6037,175,30,183.18,81.0,52.4,SE,Sweden,2.8318013812,0.1604278066,1.8319307701,-1,INCREASE_BUDGET,Outlier ROI 183.2%,Increase budget by 37%,2
02-08-2025 - SE - Rituals,Adset 5,120228731013360232,120228730572360232,2025-08-03,143,81,56.64,13.29,0.1301,18.61,131,19,175.66,51.3,32.69,SE,Sweden,2.7565823344,0.1328671319,1.7565823881,-1,INCREASE_BUDGET,Outlier ROI 175.7%,Increase budget by 35%,2
01-08-2025 - SE - Marabou - NEW,Adset 3,120232140298910295,120232140160270295,2025-08-03,17,6,35.29,23.53,0.3982,6.77,16,4,106.79,14.0,7.23,SE,Sweden,2.0679465188,0.2352941038,1.0679466665,-1,INCREASE_BUDGET,Outlier ROI 106.8%,Increase budget by 21%,2
30-07-2025 - SE - Milwaukee - Overlay - Creative 7,Adset #1,120230910518820153,120230910518270153,2025-08-03,21,11,52.38,23.81,0.3224,6.77,20,5,99.41,13.5,6.73,SE,Sweden,1.994091286,0.2380952268,0.9940914337,-1,INCREASE_BUDGET,Outlier ROI 99.4%,Increase budget by 20%,2
30-07-2025 - SE - Milwaukee - Overlay - Creative 4,Adset #1,120230910479160153,120230910478520153,2025-08-03,24,12,50.0,20.83,0.2888,6.93,24,5,94.81,13.5,6.57,SE,Sweden,1.9480516669,0.2083333247,0.9480518112,-1,INCREASE_BUDGET,Outlier ROI 94.8%,Increase budget by 19%,2
01-08-2025 - DE - Action - NEW,Adset 3,120238290950240386,120238290039790386,2025-08-03,35,16,45.71,5.71,0.1471,5.15,31,2,66.99,8.6,3.45,DE,Germany,1.6699025884,0.0571428555,0.6699027825,-1,INCREASE_BUDGET,Outlier ROI 67.0%,Increase budget by 13%,2
01-08-2025 - US - Aldi - NEW,Adset 1,120229856130070075,120229856129820075,2025-08-03,151,98,64.9,9.93,0.2064,31.1722,133,15,66.02,51.75,20.58,US,United States,1.660133014,0.0993377477,0.6602036218,-1,INCREASE_BUDGET,Outlier ROI 66.0%,Increase budget by 13%,2
01-08-2025 - SE - Milwaukee - NEW - Overlay,Adset 2,120231099000450153,120231098701960153,2025-08-03,33,14,42.42,15.15,0.2494,8.23,30,5,64.03,13.5,5.27,SE,Sweden,1.6403400194,0.1515151469,0.6403401409,-1,INCREASE_BUDGET,Outlier ROI 64.0%,Increase budget by 13%,2
02-08-2025 - SE - Rituals,Adset 4,120228731013440232,120228730572360232,2025-08-03,36,17,47.22,11.11,0.1836,6.61,33,4,63.39,10.8,4.19,SE,Sweden,1.6338878012,0.111111108,0.6338879525,-1,INCREASE_BUDGET,Outlier ROI 63.4%,Increase budget by 13%,2
04-06-2025 - UK - Dove - Overlay - Creative 2,Adset #5,120228519116110400,120228518992860400,2025-08-03,209,88,42.11,8.13,0.1009,21.09,173,17,52.96,32.26,11.17,UK,United Kingdom,1.5296348255,0.0813397125,0.5296348729,-1,INCREASE_BUDGET,Outlier ROI 53.0%,Increase budget by 11%,2
28-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 1,120231063610300045,120231063610390045,2025-08-03,108,56,51.85,9.26,0.2755,29.75,93,10,44.54,43.0,13.25,DE,Germany,1.4453781027,0.0925925917,0.4453781363,-1,INCREASE_BUDGET,Outlier ROI 44.5%,Increase budget by 9%,2
01-08-2025 - DE - Action - NEW,Adset 5,120238290950280386,120238290039790386,2025-08-03,68,43,63.24,7.35,0.2353,16.0,62,5,34.37,21.5,5.5,DE,Germany,1.343749916,0.0735294107,0.3437499785,-1,INCREASE_BUDGET,Outlier ROI 34.4%,Increase budget by 7%,2
01-08-2025 - SE - Milwaukee - NEW,Adset 3,120231098442670153,120231097634260153,2025-08-03,16,6,37.5,18.75,0.3869,6.19,15,3,30.86,8.1,1.91,SE,Sweden,1.3085619857,0.1874999883,0.3085621472,-1,INCREASE_BUDGET,Outlier ROI 30.9%,Increase budget by 6%,2
02-08-2025 - DE - Xiaomi - NEW,Adset 1,120231346904240210,120231346904230210,2025-08-03,35,23,65.71,14.29,0.4886,17.1,32,5,25.73,21.5,4.4,DE,Germany,1.257309868,0.1428571388,0.2573099265,-1,INCREASE_BUDGET,Outlier ROI 25.7%,Increase budget by 5%,2
23-07-2025 - DE - Xiaomi - Creative 3,Adset #1,120229974925460210,120229974918480210,2025-08-03,33,21,63.64,12.12,0.42,13.86,30,4,24.1,17.2,3.34,DE,Germany,1.2409811514,0.1212121175,0.2409812236,-1,INCREASE_BUDGET,Outlier ROI 24.1%,Increase budget by 5%,2
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #5,120231940067790400,120231939970540400,2025-08-03,76,56,73.68,10.53,0.1651,12.55,66,8,20.96,15.18,2.63,UK,United Kingdom,1.2095616566,0.1052631565,0.2095617363,-1,INCREASE_BUDGET,Outlier ROI 21.0%,Increase budget by 4%,2
25-07-2025 - US - Aldi - Creative 2,MV25-64 - Adset 2,120229247264750075,120229247263580075,2025-08-03,63,33,52.38,6.35,0.1817,11.45,56,4,20.53,13.8,2.35,US,United States,1.2052400694,0.0634920625,0.2052401567,-1,INCREASE_BUDGET,Outlier ROI 20.5%,Increase budget by 4%,2
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #5,120230366680140295,120230366614230295,2025-08-03,202,79,39.11,9.41,0.2892,58.42,194,19,13.83,66.5,8.08,SE,Sweden,1.1383087789,0.0940594055,0.138308796,-1,INCREASE_BUDGET,Outlier ROI 13.8%,Increase budget by 3%,2
02-08-2025 - DE - Xiaomi - NEW - Overlay,Adset 3,120231348255440210,120231348065890210,2025-08-03,71,34,47.89,9.86,0.3766,26.74,60,7,12.57,30.1,3.36,DE,Germany,1.1256544082,0.0985915479,0.1256544456,-1,INCREASE_BUDGET,Outlier ROI 12.6%,Increase budget by 3%,2
01-08-2025 - DE - Rituals - NEW,Adset 1,120231337089140045,120231337089130045,2025-08-03,103,45,43.69,6.8,0.2687,27.68,92,7,8.74,30.1,2.42,DE,Germany,1.0874277064,0.0679611644,0.0874277425,-1,INCREASE_BUDGET,Outlier ROI 8.7%,Increase budget by 2%,2
01-08-2025 - SE - Milwaukee - NEW,Adset 2,120231098442660153,120231097634260153,2025-08-03,21,10,47.62,9.52,0.2576,5.41,19,2,-0.18,5.4,-0.01,SE,Sweden,0.9981513867,0.0952380907,-0.0018484285,-1,OPTIMIZE,Outlier with slightly negative ROI -0.2%,Optimize targeting and creatives,4
25-07-2025 - US - Aldi - Creative 4,MV25-64 - Adset 4,120229247264770075,120229247264480075,2025-08-03,67,43,64.18,4.48,0.1658,11.11,58,3,-6.84,10.35,-0.76,US,United States,0.9315930755,0.0447761187,-0.0684068345,-1,OPTIMIZE,Outlier with slightly negative ROI -6.8%,Optimize targeting and creatives,4
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #4,120230366654110295,120230366614230295,2025-08-03,148,67,45.27,7.43,0.2821,41.75,141,11,-7.78,38.5,-3.25,SE,Sweden,0.9221556665,0.0743243238,-0.0778443095,-1,OPTIMIZE,Outlier with slightly negative ROI -7.8%,Optimize targeting and creatives,4
28-04-2025 - SE - Malediven - TUI - Videos - Creative 1,Adset #5,120222339862650262,120222339834050262,2025-08-03,214,108,50.47,12.15,0.3611,77.27,198,26,-9.15,70.2,-7.07,SE,Sweden,0.9085026413,0.1214953265,-0.0914973458,-1,OPTIMIZE,Outlier with slightly negative ROI -9.2%,Optimize targeting and creatives,4
30-07-2025 - SE - Milwaukee - Creative 7,Adset #1,120230909495540153,120230909491210153,2025-08-03,14,10,71.43,14.29,0.4321,6.05,14,2,-10.74,5.4,-0.65,SE,Sweden,0.8925618359,0.1428571327,-0.1074379988,-1,OPTIMIZE,Outlier with slightly negative ROI -10.7%,Optimize targeting and creatives,4
07-07-2025 - US - Aldi - Creative 2,Adset #5,120227960912670075,120227960801870075,2025-08-03,56,35,62.5,5.36,0.2264,12.68,52,3,-18.37,10.35,-2.33,US,United States,0.8162459924,0.0535714276,-0.1837539287,-1,OPTIMIZE,Outlier with slightly negative ROI -18.4%,Optimize targeting and creatives,4
01-08-2025 - DE - Gillette - NEW,Adset 4,120228469822280289,120228469622160289,2025-08-03,55,33,60.0,5.45,0.3047,16.7604,52,3,-19.45,13.5,-3.26,DE,Germany,0.8054699885,0.0545454536,-0.1945060861,-1,OPTIMIZE,Outlier with slightly negative ROI -19.4%,Optimize targeting and creatives,4
25-07-2025 - US - Aldi - Creative 1,MV25-64 - Adset 2,120229247246500075,120229247006550075,2025-08-03,68,46,67.65,4.41,0.1915,13.02,63,3,-20.5,10.35,-2.67,US,United States,0.7949308145,0.0441176464,-0.2050691087,-1,OPTIMIZE,Outlier with slightly negative ROI -20.5%,Optimize targeting and creatives,4
28-04-2025 - SE - Malediven - TUI - Videos - Creative 1,Adset #3,120222339848160262,120222339834050262,2025-08-03,63,27,42.86,9.52,0.3376,21.27,60,6,-23.84,16.2,-5.07,SE,Sweden,0.7616360714,0.0952380937,-0.2383638816,-1,OPTIMIZE,Outlier with slightly negative ROI -23.8%,Optimize targeting and creatives,4
26-06-2025 - DE - Action - Creative 1,Adset #1,120236134255240386,120236134254150386,2025-08-03,316,150,47.47,4.43,0.2987,94.38,260,14,-36.22,60.2,-34.18,DE,Germany,0.6378469947,0.0443037973,-0.3621529947,-1,OPTIMIZE,Outlier with slightly negative ROI -36.2%,Optimize targeting and creatives,4
01-08-2025 - SE - Marabou - NEW - Cost cap,Adset 3,120232197018940295,120232197018780295,2025-08-03,104,48,46.15,6.73,0.3907,40.63,96,7,-39.7,24.5,-16.13,SE,Sweden,0.6030026925,0.0673076917,-0.3969972829,-1,OPTIMIZE,Outlier with slightly negative ROI -39.7%,Optimize targeting and creatives,4
01-08-2025 - SE - Marabou - NEW - Cost cap,Adset 2,120232197018960295,120232197018780295,2025-08-03,8,2,25.0,12.5,0.7688,6.15,7,1,-43.09,3.5,-2.65,SE,Sweden,0.5691055985,0.1249999844,-0.4308942389,-1,OPTIMIZE,Outlier with slightly negative ROI -43.1%,Optimize targeting and creatives,4
01-08-2025 - SE - Marabou - NEW,Adset 4,120232140298920295,120232140160270295,2025-08-03,12,2,16.67,8.33,0.5333,6.4,11,1,-45.31,3.5,-2.9,SE,Sweden,0.5468749146,0.0833333264,-0.4531249292,-1,OPTIMIZE,Outlier with slightly negative ROI -45.3%,Optimize targeting and creatives,4
01-08-2025 - SE - Marabou - NEW - Cost cap,Adset 1,120232197018840295,120232197018780295,2025-08-03,15,9,60.0,6.67,0.4513,6.77,14,1,-48.3,3.5,-3.27,SE,Sweden,0.5169866297,0.0666666622,-0.4830132226,-1,OPTIMIZE,Outlier with slightly negative ROI -48.3%,Optimize targeting and creatives,4
02-08-2025 - SE - Rituals - Overlay,Adset 1,120228731086530232,120228731086470232,2025-08-03,20,13,65.0,30.0,0.2145,4.29,20,6,277.62,16.2,11.91,SE,Sweden,3.776222896,0.299999985,2.7762231291,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Creative 3,Adset #1,120230908713730153,120230908712540153,2025-08-03,13,10,76.92,30.77,0.2431,3.16,13,4,241.77,10.8,7.64,SE,Sweden,3.4177204374,0.307692284,2.4177207539,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - SE - Milwaukee - NEW,Adset 4,120231098442690153,120231097634260153,2025-08-03,12,6,50.0,25.0,0.2,2.4,10,3,237.5,8.1,5.7,SE,Sweden,3.3749985938,0.2499999792,2.3749990104,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - SE - Rituals,Adset 2,120228731013320232,120228730572360232,2025-08-03,19,10,52.63,10.53,0.1097,2.0842,15,2,159.09,5.4,3.32,SE,Sweden,2.5909209332,0.1052631524,1.5929365738,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
